"nombre","direccion","ciudad","provincia","ci"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 10","CALLE 443 ENTRE 24 Y 28","CITY BELL","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 11","CHACABUCO 215","CORONEL SUAREZ","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 12","AVDA. URIBURU 149","CORONEL SUAREZ","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 13","CALLE 43 Nº 305 EL DIQUE","ENSENADA","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 14","JURAMENTO 380","FLORENCIO VARELA","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 15","ACERBONI 765","JOSE C. PAZ","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 16","GIRONDO 447","JOSE C. PAZ","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 17","CALLE 461 Nº 2036","JUAN MARIA GUTIERREZ","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 18","CALLE 520 ENTRE 153 Y 154","LA GRANJA","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 19","CALLE 6 Nº 1170","LA PLATA","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 2","BARRIO TRES LAGOS KM. 14","SAN CARLOS DE BARILOCHE ","Río Negro","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 20","CALLE 61 Nº 1170","LA PLATA","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 21","CALLE 90 ESQ. 23 ALTOS DE SAN LORENZO","LA PLATA","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 22","TALCAHUANO 3568","LANUS OESTE","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 23","MORENO 876","LAS FLORES","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 24","CALLE S/N BARRIO ESTACION","LIMA","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 25","EL CHURRINCHE 3754","LOMAS DE ZAMORA","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 26","LISANDRO DE LA TORRE 561","LOMAS DE ZAMORA","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 27","DARWIN 1234","MANZANARES","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 28","EINSTEIN 2319","MAR DEL PLATA","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 29","BALCARCE 470","MARTIN CORONADO","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 3","CALLE 12 Nº 3845","BERAZATEGUI","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 30","ANTONIO BALCARCE 1864","MARTIN CORONADO","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 31","CALLE 48 Nº 960","MIRAMAR","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 32","CALLE 58 Nº 2646","NECOCHEA","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 33","M.THOMPSON 541","PABLO PODESTA","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 34","CALLE 102 ESQ. 41 BARRIO LA TOMA","PUNTA LARA","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 35","CALLE 552 Nº 969","QUEQUEN","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 36","CALLE 545 E/ 574 Y 576","QUEQUEN","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 37","LA RIOJA 745","QUILMES","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 38","TRES DE FEBRERO 2810","SAN FERNANDO","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 39","AVDA. JURAMENTO 1482","TANDIL","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 4","CALLE 112 Nº 1968","BERAZATEGUI","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 40","JOSE MARIA BOSCH 350","VILLA BOSCH","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 41","CORDOBA 2349","VIRREYES","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 42","PASTEUR 2603","VIRREYES","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 43","JUAN B. JUSTO N° 5880","ROSARIO","Santa Fe","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 44","CALLE 141 ENTRE 122 Y 122BIS ES ASAMBLEA - ARTURO SEGUI","LA PLATA","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 45","PASTEUR N° 2603","VIRREYES","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 46","CALLE 88 S/N° ENTRE 20 Y 21","LA PLATA","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 47","CALLE 124 N° 675 E/ 45 Y 46 BARRIO EL DIQUE","ENSENADA","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 48","ARANA Y GOIRI (EX 33) N° 5268","MAR DEL PLATA","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 49","CALLE 545 E/574 Y 576","QUEQUEN","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 5","MOREL 279","BURZACO","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 50","AVDA. 74 N° 3845","NECOCHEA ","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 6","CURAPALIGUE 2174","CASEROS","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 7","DIAGONAL FERNANDEZ D&#039;OLIVERA 4357","CASEROS","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 8","DR. AMADEO SABATINI 4979","CASEROS","Buenos Aires","403"
"ADELPHIA COMUNION ESPIRITUAL DE IGLESIAS E INSTITUCIONES CRIST.EVANG - FILIAL 9","GRAL. ENRIQUE MARTINEZ 889","CAPITAL FEDERAL","Ciudad Autónoma de Buenos Aires","403"
"ADIFICACIÓN Y DESARROLLO INTEGRAL PARA LA FAMILIA","CALLE: AGUSTÍN ROQUE ARIAS N° 2270","VILLA ADELA","Córdoba","5272"
"AGAPE MINISTERIO INTERNACIONAL","CALLAO 1204 ","VILLA DEL LIBERTADOR","Córdoba","2426"
"AGAPE MINISTERIO INTERNACIONAL - FILIAL 1","LEOPOLDO MELO 1192 BARRIO LOS OLMOS","CORDOBA","Córdoba","2426"
"AGAPE MINISTERIO INTERNACIONAL - FILIAL 2","9 DE JULIO 180","LA FALDA ","Córdoba","2426"
"AGAPE MINISTERIO INTERNACIONAL - FILIAL 3","PASAJE 4 N° 5790 BARRIO VILLA LIBERTADOR","CORDOBA","Córdoba","2426"
"AGAPE MINISTERIO INTERNACIONAL - FILIAL 4","GENERAL VILLEGAS 2301","MORENO","Buenos Aires","2426"
"AGAPE MINISTERIO INTERNACIONAL - FILIAL 5","CHACABUCO 1121","ESQUEL","Chubut","2426"
"AGAPE MINISTERIO INTERNACIONAL - FILIAL 6","BERUTTI 986","BAHIA BLANCA","Buenos Aires","2426"
"AGRUPACION ESPIRITISTA ALLAN KARDEC","CANGALLO 611 ","GERLI","Buenos Aires","26"
"AGRUPACION ESPIRITISTA ALLAN KARDEC - FILIAL 1","MIGUEL DE UNAMUNO 1632","MAR DEL PLATA","Buenos Aires","26"
"AGRUPACION ESPIRITISTA AMALIA D. SOLER","CAYETANO 540 ","LOBERIA","Buenos Aires","65"
"AGRUPACION ESPIRITISTA AMALIA D. SOLER - FILIAL 1","AVDA. 75 N° 2457","NECOCHEA","Buenos Aires","65"
"AGRUPACION ESPIRITISTA AMALIA D. SOLER - FILIAL 2","AVDA. DEL VALLE Y MAIPU","BALCARCE","Buenos Aires","65"
"AGRUPACION ESPIRITISTA AMALIA D. SOLER - FILIAL 3","ITUZAINGO 419","TRES ARROYOS ","Buenos Aires","65"
"AGRUPACION ESPIRITISTA AMALIA D. SOLER - FILIAL 4","REPUBLICA 1388 ESQUINA CIPRIANO TISSERA BARRIO GENERAL BUSTOS","CORDOBA","Córdoba","65"
"AGRUPACION JUVENIL &quot;LA LUZ DE JESUS&quot;","PJE.VILLA LOBOS 1427 ","ROSARIO","Santa Fe","367"
"AGRUPACION MISIONERA EVANGELICA INTERDENOMINACIONAL","FLORIDA 442 ","ALEJANDRO KORN","Buenos Aires","19"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.)","Triunvirato 203","Troncos del Talar","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.)","Sixto Laconich 3100","Resistencia","Chaco","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.)","San Lorenzo 1582","Barrio del Carmen","San Juan","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.)","Incahuasi 982","San Salvador de Jujuy","Jujuy","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) ","Monteagudo 1729","San Miguel","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) ","Pinciroli 960","Mariano Acosta","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) ","Estados Unidos 1231","Buenos Aires","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) ","Hipolito Irigoyen 1359","B° Güemes - Chimbas","San Juan","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) ","Torre 6 Mza 32 f","Don Orione - Claypole","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) ","Rondeau N° 987","Lavallol","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) ","Av. 9 de Julio N° 2441","B° Autonomía","Santiago del Estero","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) ","Triunvirato n° 4453","Quilmes Oeste","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) ","Triunvirato n° 4453","Quilmes Oeste","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) ","Noruega n° 1316","B° Santa Rosa - FLORENCIO VARELA","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.)","Garibaldi s/n°","BRANDSEN","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.)","El Salvador N° 871","AVELLANEDA","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.)","Manuel Quintana N° 318","RAWSON","San Juan","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.)","Ruta 36 N° 4824","BOSQUES - Florencio Varela","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.)","Av. Almirante Brown N° 780","Punta Lara - Ensenada","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.)","Alberdi Peatonal 2 Casa 43","La Rioja","La Rioja","4032"
"AGRUPACION SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.)","CALLE 836 N° 1838","LOC. SAN FRANCISCO SOLANO-PART. QUILMES","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) ","Vicente López y Planes 1861","Castelar - Morón","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.)  - FILIAL","Isabel de Pardo 3527","Castelar - Morón","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.)  FILIAL","Vigilante S/N, E/ Ins . Gral Florencio Heritier y Achega","San Antonio de Padua - Merlo","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL","Los Caminantes S/N","Gral. Paz","Santiago del Estero","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL","Baigorria 2335","Los Paraisos - General Rodríguez","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL","Barrufaldi 2335","Posadas ","Misiones","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL","Callao 1158","Villa Madero - La Matanza","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL","Triunvirato 4433","Quilmes Oeste","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL","Islas Malvinas 2623","Quilmes ","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL","Comodoro Rivadavia 3777","Sarandí - Avellaneda","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL","Calle 153 y 72 S/N","Los Hornos - La Plata","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL","Calle 503 N°1336","Gonnet - La Plata","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL","Calle 41 N°131","La Plata","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL","Comodoro Rivadavia 41","Huerta Grande - Valle de Punilla","Córdoba","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL","Calle 116 N°3028","La Plata","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL","Arevalo 851","Lobos","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL","Alem 1208","Distrito Benegas - Depto. Godoy Cruz","Mendoza","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL","Padre Stoppler 1953","Grand Bourg - Malvinas Argentinas","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL","Echeverría 6829","Moreno","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL","Democracia 2357","Moreno","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL","Cura Brochero 6715","Moreno","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL","Calle 746 Bis E/138 y 139","Gorina - La Plata","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL","Alvarez Rodríguez 386","Santos Tesei - Hurlingham","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL","Garibaldi 3952","Victoria - San Fernando","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL","Manuel Acevedo","Villa de Mayo - Malvinas Argentinas","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL","Triunvirato 203","Troncos del Talar - Tigre","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL 1","TORRE 6 - MZA. 32 f - B° DON ORIONE","CLAYPOLE","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL 10","ISABEL DE PARDO 3547","CASTELAR","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL 12","MANUEL ACEVEDO 3296","VILLA DE MAYO","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL 14","SIXTO LACONICH 3100","RESISTENCIA","Chaco","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL 15","SAN LORENZO 1582","SAN JUAN","San Juan","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL 16","INCAHUASI 982","JUJUY","Jujuy","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL 2","HIPOLITO IRIGOYEN 1359 - B° GÚEMES","CHIMBAS","San Juan","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL 3","ESTADOS UNIDOS 1231","CAPITAL FEDERAL","Ciudad Autónoma de Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL 4","PINCIROLI 960","MARIANO ACOSTA","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL 5","VIGILANTE S/N° - E/ INS. GRAL. FLORENCIO HERITIER Y ACHEGA","PADUA","Buenos Aires","4032"
"AGRUPACIÓN SOCIAL, CULTURAL Y RELIGIOSA AFRICANISTA Y UMBANDISTA (A.S.R.A.U.) - FILIAL 6","MONTEAGUDO 1729","SAN MIGUEL","Buenos Aires","4032"
